* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
0.000118 1s 1s 1s 1s 0s 0s 1s 1s
0.000119 1s 1s 1s 1s 0s 1s 1s 0s
0.00012 1s 1s 1s 1s 1s 0s 0s 1s
0.000121 1s 1s 1s 1s 1s 0s 1s 1s
0.000122 1s 1s 1s 1s 1s 1s 0s 1s
0.000123 1s 1s 1s 1s 1s 1s 1s 0s
0.000124 1s 1s 1s 1s 1s 1s 1s 1s
0.000125 1s 1s 1s 1s 1s 1s 1s 1s
0.000126 1s 1s 1s 1s 1s 1s 1s 1s
0.000127 1s 1s 1s 1s 1s 1s 1s 0s
0.000128 1s 1s 1s 1s 1s 1s 0s 1s
0.000129 1s 1s 1s 1s 1s 0s 1s 1s
0.00013 1s 1s 1s 1s 1s 0s 0s 1s
0.000131 1s 1s 1s 1s 0s 1s 1s 0s
0.000132 1s 1s 1s 1s 0s 0s 1s 1s
0.000133 1s 1s 1s 0s 1s 1s 1s 1s
0.000134 1s 1s 1s 0s 1s 0s 1s 1s
0.000135 1s 1s 1s 0s 0s 1s 1s 1s
0.000136 1s 1s 1s 0s 0s 0s 1s 0s
0.000137 1s 1s 0s 1s 1s 1s 0s 0s
0.000138 1s 1s 0s 1s 0s 1s 1s 1s
0.000139 1s 1s 0s 1s 0s 0s 0s 1s
0.00014 1s 1s 0s 0s 1s 0s 1s 0s
0.000141 1s 1s 0s 0s 0s 1s 0s 0s
0.000142 1s 0s 1s 1s 1s 1s 0s 1s
0.000143 1s 0s 1s 1s 0s 1s 1s 0s
0.000144 1s 0s 1s 0s 1s 1s 1s 0s
0.000145 1s 0s 1s 0s 0s 1s 1s 1s
0.000146 1s 0s 0s 1s 1s 1s 1s 1s
0.000147 1s 0s 0s 1s 0s 1s 1s 1s
0.000148 1s 0s 0s 0s 1s 1s 1s 1s
0.000149 1s 0s 0s 0s 1s 0s 0s 0s
0.00015 1s 0s 0s 0s 0s 0s 0s 0s
0.000151 0s 1s 1s 1s 0s 1s 1s 1s
0.000152 0s 1s 1s 1s 0s 0s 0s 0s
0.000153 0s 1s 1s 0s 1s 0s 0s 0s
0.000154 0s 1s 1s 0s 0s 0s 0s 0s
0.000155 0s 1s 0s 1s 1s 0s 0s 0s
0.000156 0s 1s 0s 1s 0s 0s 0s 1s
0.000157 0s 1s 0s 0s 1s 0s 0s 1s
0.000158 0s 1s 0s 0s 0s 0s 1s 0s
0.000159 0s 0s 1s 1s 1s 0s 1s 1s
0.00016 0s 0s 1s 1s 0s 1s 0s 1s
0.000161 0s 0s 1s 0s 1s 1s 1s 0s
0.000162 0s 0s 1s 0s 1s 0s 0s 0s
0.000163 0s 0s 1s 0s 0s 0s 1s 1s
0.000164 0s 0s 0s 1s 1s 1s 0s 1s
0.000165 0s 0s 0s 1s 1s 0s 0s 0s
0.000166 0s 0s 0s 1s 0s 1s 0s 0s
0.000167 0s 0s 0s 1s 0s 0s 0s 0s
0.000168 0s 0s 0s 0s 1s 1s 0s 0s
0.000169 0s 0s 0s 0s 1s 0s 0s 1s
0.00017 0s 0s 0s 0s 0s 1s 1s 0s
0.000171 0s 0s 0s 0s 0s 1s 0s 0s
0.000172 0s 0s 0s 0s 0s 0s 1s 0s
0.000173 0s 0s 0s 0s 0s 0s 0s 1s
0.000174 0s 0s 0s 0s 0s 0s 0s 0s
0.000175 0s 0s 0s 0s 0s 0s 0s 0s
0.000176 0s 0s 0s 0s 0s 0s 0s 0s
0.000177 0s 0s 0s 0s 0s 0s 0s 1s
0.000178 0s 0s 0s 0s 0s 0s 1s 0s
0.000179 0s 0s 0s 0s 0s 1s 0s 0s
0.00018 0s 0s 0s 0s 0s 1s 1s 0s
0.000181 0s 0s 0s 0s 1s 0s 0s 1s
0.000182 0s 0s 0s 0s 1s 1s 0s 0s
0.000183 0s 0s 0s 1s 0s 0s 0s 0s
0.000184 0s 0s 0s 1s 0s 1s 0s 0s
0.000185 0s 0s 0s 1s 1s 0s 0s 0s
0.000186 0s 0s 0s 1s 1s 1s 0s 1s
0.000187 0s 0s 1s 0s 0s 0s 1s 1s
0.000188 0s 0s 1s 0s 1s 0s 0s 0s
0.000189 0s 0s 1s 0s 1s 1s 1s 0s
0.00019 0s 0s 1s 1s 0s 1s 0s 1s
0.000191 0s 0s 1s 1s 1s 0s 1s 1s
0.000192 0s 1s 0s 0s 0s 0s 1s 0s
0.000193 0s 1s 0s 0s 1s 0s 0s 1s
0.000194 0s 1s 0s 1s 0s 0s 0s 1s
0.000195 0s 1s 0s 1s 1s 0s 0s 0s
0.000196 0s 1s 1s 0s 0s 0s 0s 0s
0.000197 0s 1s 1s 0s 1s 0s 0s 0s
0.000198 0s 1s 1s 1s 0s 0s 0s 0s
0.000199 0s 1s 1s 1s 0s 1s 1s 1s
0.0002 0s 1s 1s 1s 1s 1s 1s 1s
0.000201 1s 0s 0s 0s 1s 0s 0s 0s
0.000202 1s 0s 0s 0s 1s 1s 1s 1s
0.000203 1s 0s 0s 1s 0s 1s 1s 1s
0.000204 1s 0s 0s 1s 1s 1s 1s 1s
0.000205 1s 0s 1s 0s 0s 1s 1s 1s
0.000206 1s 0s 1s 0s 1s 1s 1s 0s
0.000207 1s 0s 1s 1s 0s 1s 1s 0s
0.000208 1s 0s 1s 1s 1s 1s 0s 1s
0.000209 1s 1s 0s 0s 0s 1s 0s 0s
0.00021 1s 1s 0s 0s 1s 0s 1s 0s
0.000211 1s 1s 0s 1s 0s 0s 0s 1s
0.000212 1s 1s 0s 1s 0s 1s 1s 1s
0.000213 1s 1s 0s 1s 1s 1s 0s 0s
0.000214 1s 1s 1s 0s 0s 0s 1s 0s
0.000215 1s 1s 1s 0s 0s 1s 1s 1s
0.000216 1s 1s 1s 0s 1s 0s 1s 1s
0.000217 1s 1s 1s 0s 1s 1s 1s 1s
0.000218 1s 1s 1s 1s 0s 0s 1s 1s
0.000219 1s 1s 1s 1s 0s 1s 1s 0s
0.00022 1s 1s 1s 1s 1s 0s 0s 1s
0.000221 1s 1s 1s 1s 1s 0s 1s 1s
0.000222 1s 1s 1s 1s 1s 1s 0s 1s
0.000223 1s 1s 1s 1s 1s 1s 1s 0s
0.000224 1s 1s 1s 1s 1s 1s 1s 1s
0.000225 1s 1s 1s 1s 1s 1s 1s 1s
0.000226 1s 1s 1s 1s 1s 1s 1s 1s
0.000227 1s 1s 1s 1s 1s 1s 1s 0s
0.000228 1s 1s 1s 1s 1s 1s 0s 1s
0.000229 1s 1s 1s 1s 1s 0s 1s 1s
0.00023 1s 1s 1s 1s 1s 0s 0s 1s
0.000231 1s 1s 1s 1s 0s 1s 1s 0s
0.000232 1s 1s 1s 1s 0s 0s 1s 1s
0.000233 1s 1s 1s 0s 1s 1s 1s 1s
0.000234 1s 1s 1s 0s 1s 0s 1s 1s
0.000235 1s 1s 1s 0s 0s 1s 1s 1s
0.000236 1s 1s 1s 0s 0s 0s 1s 0s
0.000237 1s 1s 0s 1s 1s 1s 0s 0s
0.000238 1s 1s 0s 1s 0s 1s 1s 1s
0.000239 1s 1s 0s 1s 0s 0s 0s 1s
0.00024 1s 1s 0s 0s 1s 0s 1s 0s
0.000241 1s 1s 0s 0s 0s 1s 0s 0s
0.000242 1s 0s 1s 1s 1s 1s 0s 1s
0.000243 1s 0s 1s 1s 0s 1s 1s 0s
0.000244 1s 0s 1s 0s 1s 1s 1s 0s
0.000245 1s 0s 1s 0s 0s 1s 1s 1s
0.000246 1s 0s 0s 1s 1s 1s 1s 1s
0.000247 1s 0s 0s 1s 0s 1s 1s 1s
0.000248 1s 0s 0s 0s 1s 1s 1s 1s
0.000249 1s 0s 0s 0s 1s 0s 0s 0s
0.00025 1s 0s 0s 0s 0s 0s 0s 0s
0.000251 0s 1s 1s 1s 0s 1s 1s 1s
0.000252 0s 1s 1s 1s 0s 0s 0s 0s
0.000253 0s 1s 1s 0s 1s 0s 0s 0s
0.000254 0s 1s 1s 0s 0s 0s 0s 0s
0.000255 0s 1s 0s 1s 1s 0s 0s 0s
0.000256 0s 1s 0s 1s 0s 0s 0s 1s
0.000257 0s 1s 0s 0s 1s 0s 0s 1s
0.000258 0s 1s 0s 0s 0s 0s 1s 0s
0.000259 0s 0s 1s 1s 1s 0s 1s 1s
0.00026 0s 0s 1s 1s 0s 1s 0s 1s
0.000261 0s 0s 1s 0s 1s 1s 1s 0s
0.000262 0s 0s 1s 0s 1s 0s 0s 0s
0.000263 0s 0s 1s 0s 0s 0s 1s 1s
0.000264 0s 0s 0s 1s 1s 1s 0s 1s
0.000265 0s 0s 0s 1s 1s 0s 0s 0s
0.000266 0s 0s 0s 1s 0s 1s 0s 0s
0.000267 0s 0s 0s 1s 0s 0s 0s 0s
0.000268 0s 0s 0s 0s 1s 1s 0s 0s
0.000269 0s 0s 0s 0s 1s 0s 0s 1s
0.00027 0s 0s 0s 0s 0s 1s 1s 0s
0.000271 0s 0s 0s 0s 0s 1s 0s 0s
0.000272 0s 0s 0s 0s 0s 0s 1s 0s
0.000273 0s 0s 0s 0s 0s 0s 0s 1s
0.000274 0s 0s 0s 0s 0s 0s 0s 0s
0.000275 0s 0s 0s 0s 0s 0s 0s 0s
0.000276 0s 0s 0s 0s 0s 0s 0s 0s
0.000277 0s 0s 0s 0s 0s 0s 0s 1s
0.000278 0s 0s 0s 0s 0s 0s 1s 0s
0.000279 0s 0s 0s 0s 0s 1s 0s 0s
0.00028 0s 0s 0s 0s 0s 1s 1s 0s
0.000281 0s 0s 0s 0s 1s 0s 0s 1s
0.000282 0s 0s 0s 0s 1s 1s 0s 0s
0.000283 0s 0s 0s 1s 0s 0s 0s 0s
0.000284 0s 0s 0s 1s 0s 1s 0s 0s
0.000285 0s 0s 0s 1s 1s 0s 0s 0s
0.000286 0s 0s 0s 1s 1s 1s 0s 1s
0.000287 0s 0s 1s 0s 0s 0s 1s 1s
0.000288 0s 0s 1s 0s 1s 0s 0s 0s
0.000289 0s 0s 1s 0s 1s 1s 1s 0s
0.00029 0s 0s 1s 1s 0s 1s 0s 1s
0.000291 0s 0s 1s 1s 1s 0s 1s 1s
0.000292 0s 1s 0s 0s 0s 0s 1s 0s
0.000293 0s 1s 0s 0s 1s 0s 0s 1s
0.000294 0s 1s 0s 1s 0s 0s 0s 1s
0.000295 0s 1s 0s 1s 1s 0s 0s 0s
0.000296 0s 1s 1s 0s 0s 0s 0s 0s
0.000297 0s 1s 1s 0s 1s 0s 0s 0s
0.000298 0s 1s 1s 1s 0s 0s 0s 0s
0.000299 0s 1s 1s 1s 0s 1s 1s 1s
0.0003 0s 1s 1s 1s 1s 1s 1s 1s
0.000301 1s 0s 0s 0s 1s 0s 0s 0s
0.000302 1s 0s 0s 0s 1s 1s 1s 1s
0.000303 1s 0s 0s 1s 0s 1s 1s 1s
0.000304 1s 0s 0s 1s 1s 1s 1s 1s
0.000305 1s 0s 1s 0s 0s 1s 1s 1s
0.000306 1s 0s 1s 0s 1s 1s 1s 0s
0.000307 1s 0s 1s 1s 0s 1s 1s 0s
0.000308 1s 0s 1s 1s 1s 1s 0s 1s
0.000309 1s 1s 0s 0s 0s 1s 0s 0s
0.00031 1s 1s 0s 0s 1s 0s 1s 0s
0.000311 1s 1s 0s 1s 0s 0s 0s 1s
0.000312 1s 1s 0s 1s 0s 1s 1s 1s
0.000313 1s 1s 0s 1s 1s 1s 0s 0s
0.000314 1s 1s 1s 0s 0s 0s 1s 0s
0.000315 1s 1s 1s 0s 0s 1s 1s 1s
0.000316 1s 1s 1s 0s 1s 0s 1s 1s
0.000317 1s 1s 1s 0s 1s 1s 1s 1s
0.000318 1s 1s 1s 1s 0s 0s 1s 1s
0.000319 1s 1s 1s 1s 0s 1s 1s 0s
0.00032 1s 1s 1s 1s 1s 0s 0s 1s
0.000321 1s 1s 1s 1s 1s 0s 1s 1s
0.000322 1s 1s 1s 1s 1s 1s 0s 1s
0.000323 1s 1s 1s 1s 1s 1s 1s 0s
0.000324 1s 1s 1s 1s 1s 1s 1s 1s
0.000325 1s 1s 1s 1s 1s 1s 1s 1s
0.000326 1s 1s 1s 1s 1s 1s 1s 1s
0.000327 1s 1s 1s 1s 1s 1s 1s 0s
0.000328 1s 1s 1s 1s 1s 1s 0s 1s
0.000329 1s 1s 1s 1s 1s 0s 1s 1s
0.00033 1s 1s 1s 1s 1s 0s 0s 1s
0.000331 1s 1s 1s 1s 0s 1s 1s 0s
0.000332 1s 1s 1s 1s 0s 0s 1s 1s
0.000333 1s 1s 1s 0s 1s 1s 1s 1s
0.000334 1s 1s 1s 0s 1s 0s 1s 1s
0.000335 1s 1s 1s 0s 0s 1s 1s 1s
0.000336 1s 1s 1s 0s 0s 0s 1s 0s
0.000337 1s 1s 0s 1s 1s 1s 0s 0s
0.000338 1s 1s 0s 1s 0s 1s 1s 1s
0.000339 1s 1s 0s 1s 0s 0s 0s 1s
0.00034 1s 1s 0s 0s 1s 0s 1s 0s
0.000341 1s 1s 0s 0s 0s 1s 0s 0s
0.000342 1s 0s 1s 1s 1s 1s 0s 1s
0.000343 1s 0s 1s 1s 0s 1s 1s 0s
0.000344 1s 0s 1s 0s 1s 1s 1s 0s
0.000345 1s 0s 1s 0s 0s 1s 1s 1s
0.000346 1s 0s 0s 1s 1s 1s 1s 1s
0.000347 1s 0s 0s 1s 0s 1s 1s 1s
0.000348 1s 0s 0s 0s 1s 1s 1s 1s
0.000349 1s 0s 0s 0s 1s 0s 0s 0s
0.00035 1s 0s 0s 0s 0s 0s 0s 0s
0.000351 0s 1s 1s 1s 0s 1s 1s 1s
0.000352 0s 1s 1s 1s 0s 0s 0s 0s
0.000353 0s 1s 1s 0s 1s 0s 0s 0s
0.000354 0s 1s 1s 0s 0s 0s 0s 0s
0.000355 0s 1s 0s 1s 1s 0s 0s 0s
0.000356 0s 1s 0s 1s 0s 0s 0s 1s
0.000357 0s 1s 0s 0s 1s 0s 0s 1s
0.000358 0s 1s 0s 0s 0s 0s 1s 0s
0.000359 0s 0s 1s 1s 1s 0s 1s 1s
0.00036 0s 0s 1s 1s 0s 1s 0s 1s
0.000361 0s 0s 1s 0s 1s 1s 1s 0s
0.000362 0s 0s 1s 0s 1s 0s 0s 0s
0.000363 0s 0s 1s 0s 0s 0s 1s 1s
0.000364 0s 0s 0s 1s 1s 1s 0s 1s
0.000365 0s 0s 0s 1s 1s 0s 0s 0s
0.000366 0s 0s 0s 1s 0s 1s 0s 0s
0.000367 0s 0s 0s 1s 0s 0s 0s 0s
0.000368 0s 0s 0s 0s 1s 1s 0s 0s
0.000369 0s 0s 0s 0s 1s 0s 0s 1s
0.00037 0s 0s 0s 0s 0s 1s 1s 0s
0.000371 0s 0s 0s 0s 0s 1s 0s 0s
0.000372 0s 0s 0s 0s 0s 0s 1s 0s
0.000373 0s 0s 0s 0s 0s 0s 0s 1s
0.000374 0s 0s 0s 0s 0s 0s 0s 0s
0.000375 0s 0s 0s 0s 0s 0s 0s 0s
0.000376 0s 0s 0s 0s 0s 0s 0s 0s
0.000377 0s 0s 0s 0s 0s 0s 0s 1s
0.000378 0s 0s 0s 0s 0s 0s 1s 0s
0.000379 0s 0s 0s 0s 0s 1s 0s 0s
0.00038 0s 0s 0s 0s 0s 1s 1s 0s
0.000381 0s 0s 0s 0s 1s 0s 0s 1s
0.000382 0s 0s 0s 0s 1s 1s 0s 0s
0.000383 0s 0s 0s 1s 0s 0s 0s 0s
0.000384 0s 0s 0s 1s 0s 1s 0s 0s
0.000385 0s 0s 0s 1s 1s 0s 0s 0s
0.000386 0s 0s 0s 1s 1s 1s 0s 1s
0.000387 0s 0s 1s 0s 0s 0s 1s 1s
0.000388 0s 0s 1s 0s 1s 0s 0s 0s
0.000389 0s 0s 1s 0s 1s 1s 1s 0s
0.00039 0s 0s 1s 1s 0s 1s 0s 1s
0.000391 0s 0s 1s 1s 1s 0s 1s 1s
0.000392 0s 1s 0s 0s 0s 0s 1s 0s
0.000393 0s 1s 0s 0s 1s 0s 0s 1s
0.000394 0s 1s 0s 1s 0s 0s 0s 1s
0.000395 0s 1s 0s 1s 1s 0s 0s 0s
0.000396 0s 1s 1s 0s 0s 0s 0s 0s
0.000397 0s 1s 1s 0s 1s 0s 0s 0s
0.000398 0s 1s 1s 1s 0s 0s 0s 0s
0.000399 0s 1s 1s 1s 0s 1s 1s 1s
0.0004 0s 1s 1s 1s 1s 1s 1s 1s
0.000401 1s 0s 0s 0s 1s 0s 0s 0s
